Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C0817,6,chromatic,"5,2,5,3,4,1,0,2",swapped,shifted,1,4,"14,9,14,11,12,7,3,9","14,9,14,12,11,7,3,9","14,9,14,11,13,7,3,9",false,
S1C0817,6,diatonic,"3,4,1,3,4,2,0,3",swapped,shifted,-1,4,"4,6,-1,4,6,1,-3,4","4,6,-1,6,4,1,-3,4","4,6,-1,4,5,1,-3,4",false,
S1C0817,6,chromatic,"0,1,3,5,2,4,1,2",shifted,swapped,1,4,"4,7,12,14,10,13,7,10","4,7,12,10,14,13,7,10","4,7,12,14,11,13,7,10",false,
S1C0817,6,diatonic,"1,2,4,3,0,2,4,5",swapped,shifted,-1,3,"0,2,7,5,-3,2,7,9","0,2,7,-3,5,2,7,9","0,2,7,4,-3,2,7,9",false,
S1C0817,6,diatonic,"4,3,1,2,3,1,4,0",shifted,swapped,1,3,"9,7,2,4,7,2,9,-1","9,7,2,7,4,2,9,-1","9,7,2,5,7,2,9,-1",false,
S1C0817,6,diatonic,"0,1,2,3,5,4,5,1",swapped,shifted,1,3,"-3,-1,1,4,9,6,9,-1","-3,-1,1,9,4,6,9,-1","-3,-1,1,5,9,6,9,-1",false,
S1C0817,6,diatonic,"2,3,1,0,3,1,4,2",shifted,swapped,-1,3,"4,7,2,-1,7,2,9,4","4,7,2,7,-1,2,9,4","4,7,2,-2,7,2,9,4",false,
S1C0817,6,diatonic,"4,3,1,2,3,4,1,0",shifted,swapped,1,4,"7,5,0,2,5,7,0,-3","7,5,0,5,2,7,0,-3","7,5,0,2,6,7,0,-3",false,
S1C0817,6,chromatic,"5,3,2,1,4,0,3,6",swapped,shifted,-1,3,"13,10,9,7,11,5,10,14","13,10,9,11,7,5,10,14","13,10,9,6,11,5,10,14",false,
S1C0817,6,chromatic,"0,1,3,4,2,5,4,1",shifted,swapped,-1,4,"3,4,9,12,8,13,12,4","3,4,9,8,12,13,12,4","3,4,9,12,7,13,12,4",false,
S1C0817,6,chromatic,"0,1,4,3,5,4,1,2",swapped,shifted,1,3,"3,8,13,11,14,13,8,9","3,8,13,14,11,13,8,9","3,8,13,12,14,13,8,9",false,
S1C0817,6,chromatic,"3,1,2,3,5,0,3,4",swapped,shifted,-1,3,"10,4,6,10,12,2,10,11","10,4,6,12,10,2,10,11","10,4,6,9,12,2,10,11",false,
S1C0817,6,diatonic,"1,2,4,5,3,0,3,2",swapped,shifted,1,4,"0,2,7,9,4,-3,4,2","0,2,7,4,9,-3,4,2","0,2,7,9,5,-3,4,2",false,
S1C0817,6,chromatic,"5,4,0,1,2,6,3,5",shifted,swapped,-1,4,"10,9,2,4,6,14,7,10","10,9,2,6,4,14,7,10","10,9,2,4,5,14,7,10",false,
S1C0817,6,chromatic,"4,2,6,3,5,1,0,3",shifted,swapped,-1,3,"10,6,12,9,11,3,2,9","10,6,12,11,9,3,2,9","10,6,12,8,11,3,2,9",false,
S1C0817,6,diatonic,"1,0,2,4,5,1,3,1",shifted,swapped,1,4,"0,-3,2,7,9,0,4,0","0,-3,2,9,7,0,4,0","0,-3,2,7,10,0,4,0",false,
S1C0817,6,chromatic,"1,3,2,3,4,0,2,4",swapped,shifted,1,4,"5,8,6,8,9,4,6,9","5,8,6,9,8,4,6,9","5,8,6,8,10,4,6,9",false,
S1C0817,6,chromatic,"0,2,4,1,3,5,3,2",shifted,swapped,1,3,"2,5,10,3,6,13,6,5","2,5,10,6,3,13,6,5","2,5,10,4,6,13,6,5",false,
S1C0817,6,diatonic,"2,0,1,3,0,4,3,2",swapped,shifted,-1,3,"4,-1,2,6,-1,9,6,4","4,-1,2,-1,6,9,6,4","4,-1,2,5,-1,9,6,4",false,
S1C0817,6,diatonic,"1,0,3,5,4,2,0,4",shifted,swapped,-1,4,"-1,-3,4,9,6,2,-3,6","-1,-3,4,6,9,2,-3,6","-1,-3,4,9,5,2,-3,6",false,
