Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C1229,5,chromatic,"6,5,6,5,3,1,4,0,2,3,6,2",swapped,shifted,1,6,"14,12,14,12,8,4,9,3,7,8,14,7","14,12,14,12,8,9,4,3,7,8,14,7","14,12,14,12,8,4,10,3,7,8,14,7",false,
S1C1229,5,diatonic,"2,4,3,4,1,0,3,2,1,3,5,3",swapped,shifted,-1,5,"7,11,9,11,4,2,9,7,4,9,14,9","7,11,9,11,4,9,2,7,4,9,14,9","7,11,9,11,4,1,9,7,4,9,14,9",false,
S1C1229,5,diatonic,"3,2,3,4,2,4,3,0,4,1,0,4",shifted,swapped,-1,5,"9,6,9,11,6,11,9,2,11,4,2,11","9,6,9,11,6,9,11,2,11,4,2,11","9,6,9,11,6,10,9,2,11,4,2,11",false,
S1C1229,5,diatonic,"4,2,3,0,3,2,1,5,4,0,4,2",swapped,shifted,-1,6,"11,6,9,2,9,6,4,14,11,2,11,6","11,6,9,2,9,4,6,14,11,2,11,6","11,6,9,2,9,6,3,14,11,2,11,6",false,
S1C1229,5,chromatic,"1,5,3,4,9,6,2,7,6,4,0,8",swapped,shifted,1,6,"4,9,7,8,15,11,5,13,11,8,3,14","4,9,7,8,15,5,11,13,11,8,3,14","4,9,7,8,15,11,6,13,11,8,3,14",false,
S1C1229,5,diatonic,"1,0,2,0,2,1,5,4,5,0,4,3",swapped,shifted,1,6,"5,2,7,2,7,5,14,12,14,2,12,10","5,2,7,2,7,14,5,12,14,2,12,10","5,2,7,2,7,5,15,12,14,2,12,10",false,
S1C1229,5,chromatic,"3,4,8,4,2,1,7,8,0,5,6,8",shifted,swapped,-1,5,"8,9,14,9,7,6,13,14,4,10,12,14","8,9,14,9,7,13,6,14,4,10,12,14","8,9,14,9,7,5,13,14,4,10,12,14",false,
S1C1229,5,chromatic,"3,1,4,0,2,4,5,0,4,1,6,0",swapped,shifted,1,5,"10,6,11,3,7,11,14,3,11,6,15,3","10,6,11,3,7,14,11,3,11,6,15,3","10,6,11,3,7,12,14,3,11,6,15,3",false,
S1C1229,5,chromatic,"2,0,5,1,4,6,3,7,6,0,8,4",shifted,swapped,-1,6,"6,3,10,5,9,13,8,14,13,3,15,9","6,3,10,5,9,8,13,14,13,3,15,9","6,3,10,5,9,13,7,14,13,3,15,9",false,
S1C1229,5,chromatic,"0,3,4,3,5,3,1,6,1,2,3,5",shifted,swapped,-1,5,"5,10,11,10,13,10,7,14,7,8,10,13","5,10,11,10,13,7,10,14,7,8,10,13","5,10,11,10,13,9,7,14,7,8,10,13",false,
S1C1229,5,diatonic,"0,2,4,2,3,0,2,4,2,3,2,1",swapped,shifted,1,6,"4,9,14,9,12,4,9,14,9,12,9,7","4,9,14,9,12,9,4,14,9,12,9,7","4,9,14,9,12,4,10,14,9,12,9,7",false,
S1C1229,5,chromatic,"2,4,1,3,2,4,6,5,0,6,0,3",swapped,shifted,-1,6,"6,9,5,8,6,9,14,12,4,14,4,8","6,9,5,8,6,14,9,12,4,14,4,8","6,9,5,8,6,9,13,12,4,14,4,8",false,
S1C1229,5,chromatic,"4,0,3,7,4,1,0,6,5,7,4,2",shifted,swapped,-1,6,"8,3,7,15,8,4,3,13,9,15,8,6","8,3,7,15,8,3,4,13,9,15,8,6","8,3,7,15,8,4,2,13,9,15,8,6",false,
S1C1229,5,diatonic,"2,3,2,5,4,0,3,2,5,2,1,2",swapped,shifted,-1,5,"7,10,7,14,12,2,10,7,14,7,5,7","7,10,7,14,12,10,2,7,14,7,5,7","7,10,7,14,12,1,10,7,14,7,5,7",false,
S1C1229,5,chromatic,"6,7,3,8,6,4,2,5,3,1,2,0",swapped,shifted,1,5,"13,14,8,15,13,10,6,12,8,5,6,4","13,14,8,15,13,6,10,12,8,5,6,4","13,14,8,15,13,11,6,12,8,5,6,4",false,
S1C1229,5,diatonic,"1,2,5,3,1,2,0,1,0,2,4,2",shifted,swapped,1,6,"4,7,14,9,4,7,2,4,2,7,11,7","4,7,14,9,4,2,7,4,2,7,11,7","4,7,14,9,4,7,3,4,2,7,11,7",false,
S1C1229,5,diatonic,"2,0,3,0,2,5,4,1,3,1,0,5",shifted,swapped,1,5,"7,2,9,2,7,14,12,5,9,5,2,14","7,2,9,2,7,12,14,5,9,5,2,14","7,2,9,2,7,15,12,5,9,5,2,14",false,
S1C1229,5,chromatic,"6,3,2,7,5,2,6,0,1,0,5,4",shifted,swapped,1,5,"13,9,7,15,12,7,13,4,5,4,12,10","13,9,7,15,12,13,7,4,5,4,12,10","13,9,7,15,12,8,13,4,5,4,12,10",false,
S1C1229,5,diatonic,"0,1,2,0,1,5,3,0,3,0,4,2",shifted,swapped,-1,5,"2,5,7,2,5,14,9,2,9,2,12,7","2,5,7,2,5,9,14,2,9,2,12,7","2,5,7,2,5,13,9,2,9,2,12,7",false,
S1C1229,5,diatonic,"4,2,3,4,3,1,0,2,4,3,1,3",shifted,swapped,1,6,"12,7,9,12,9,4,2,7,12,9,4,9","12,7,9,12,9,2,4,7,12,9,4,9","12,7,9,12,9,4,3,7,12,9,4,9",false,
