Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C0802,6,diatonic,"3,1,2,0,3,2,4,5",shifted,swapped,-1,4,"4,-1,2,-3,4,2,7,9","4,-1,2,4,-3,2,7,9","4,-1,2,-3,3,2,7,9",false,
S1C0802,6,chromatic,"0,1,3,5,4,2,7,6",shifted,swapped,1,4,"-3,-2,1,6,2,-1,9,7","-3,-2,1,2,6,-1,9,7","-3,-2,1,6,3,-1,9,7",false,
S1C0802,6,chromatic,"4,3,0,2,5,4,1,6",swapped,shifted,1,4,"5,3,-2,1,6,5,0,8","5,3,-2,6,1,5,0,8","5,3,-2,1,7,5,0,8",false,
S1C0802,6,diatonic,"2,0,3,0,2,1,3,4",shifted,swapped,1,3,"2,-3,4,-3,2,-1,4,6","2,-3,4,2,-3,-1,4,6","2,-3,4,-2,2,-1,4,6",false,
S1C0802,6,chromatic,"0,2,5,3,1,5,2,4",swapped,shifted,1,3,"-2,3,9,4,-1,9,3,7","-2,3,9,-1,4,9,3,7","-2,3,9,5,-1,9,3,7",false,
S1C0802,6,chromatic,"2,4,2,5,3,0,1,2",shifted,swapped,-1,4,"3,7,3,8,5,-3,1,3","3,7,3,5,8,-3,1,3","3,7,3,8,4,-3,1,3",false,
S1C0802,6,chromatic,"3,6,5,0,1,5,2,4",shifted,swapped,1,3,"4,9,6,-2,2,6,3,5","4,9,6,2,-2,6,3,5","4,9,6,-1,2,6,3,5",false,
S1C0802,6,chromatic,"5,4,1,2,0,3,5,2",shifted,swapped,-1,3,"7,5,-1,1,-2,3,7,1","7,5,-1,-2,1,3,7,1","7,5,-1,0,-2,3,7,1",false,
S1C0802,6,diatonic,"3,4,3,1,2,0,2,1",swapped,shifted,-1,4,"4,6,4,-1,1,-3,1,-1","4,6,4,1,-1,-3,1,-1","4,6,4,-1,0,-3,1,-1",false,
S1C0802,6,diatonic,"1,3,1,2,4,0,2,4",shifted,swapped,-1,4,"0,5,0,2,7,-3,2,7","0,5,0,7,2,-3,2,7","0,5,0,2,6,-3,2,7",false,
S1C0802,6,diatonic,"0,1,3,0,2,5,3,4",swapped,shifted,-1,3,"-3,0,4,-3,2,9,4,7","-3,0,4,2,-3,9,4,7","-3,0,4,-4,2,9,4,7",false,
S1C0802,6,chromatic,"6,5,7,2,3,1,4,0",swapped,shifted,-1,3,"8,7,9,3,4,0,5,-2","8,7,9,4,3,0,5,-2","8,7,9,2,4,0,5,-2",false,
S1C0802,6,diatonic,"2,1,0,2,3,4,5,3",swapped,shifted,-1,3,"2,0,-3,2,5,7,9,5","2,0,-3,5,2,7,9,5","2,0,-3,1,5,7,9,5",false,
S1C0802,6,diatonic,"1,3,0,1,2,4,0,3",shifted,swapped,1,4,"-1,4,-3,-1,2,6,-3,4","-1,4,-3,2,-1,6,-3,4","-1,4,-3,-1,3,6,-3,4",false,
S1C0802,6,diatonic,"1,0,1,2,0,4,0,3",swapped,shifted,1,4,"2,-1,2,4,-1,9,-1,7","2,-1,2,-1,4,9,-1,7","2,-1,2,4,0,9,-1,7",false,
S1C0802,6,diatonic,"1,2,3,1,0,3,4,0",shifted,swapped,1,3,"-1,1,4,-1,-3,4,6,-3","-1,1,4,-3,-1,4,6,-3","-1,1,4,0,-3,4,6,-3",false,
S1C0802,6,chromatic,"3,1,0,5,6,2,7,4",swapped,shifted,1,4,"1,-2,-3,4,5,0,7,2","1,-2,-3,5,4,0,7,2","1,-2,-3,4,6,0,7,2",false,
S1C0802,6,diatonic,"3,1,2,4,1,5,2,0",swapped,shifted,1,3,"4,0,2,7,0,9,2,-3","4,0,2,0,7,9,2,-3","4,0,2,8,0,9,2,-3",false,
S1C0802,6,chromatic,"0,3,5,2,6,5,1,4",shifted,swapped,-1,3,"-2,4,7,2,8,7,0,6","-2,4,7,8,2,7,0,6","-2,4,7,1,8,7,0,6",false,
S1C0802,6,chromatic,"2,4,0,4,5,1,2,3",swapped,shifted,-1,4,"2,4,-3,4,9,1,2,3","2,4,-3,9,4,1,2,3","2,4,-3,4,8,1,2,3",false,
